keyword,building_type
Daugiabutis,daugiabutis
Vienbutis,vienbutis
Dvibutis,dvibutis
Vieno buto,vienbutis
Gyvenamasis namas,vienbutis
daugiabutis,daugiabutis
VIENO BUTO,vienbutis
DVIEJŲ BUTŲ,dvibutis
Daugiabučio,daugiabutis
VIENBUTIS,vienbutis
DAUGIABUTIS,daugiabutis
Vieno,vienbutis
vienbutis,vienbutis
Gyvenamas namas,vienbutis
dvibutis,dvibutis
Vinbutis,vienbutis
DVIBUTIS,dvibutis
Gyvenamasis,vienbutis
Vienbučio,vienbutis
Gyvenamosios,vienbutis
Veinbutis,vienbutis
Dviejų butų,dvibutis
Vienu buto,vienbutis
gyv. namas,vienbutis
vienbučiai,vienbutis
gyvenamas,vienbutis
GYVENAMASIS,vienbutis
