building_type,USER_eldership,average_building_time
daugiabutis,Antakalnis,1592.077051926298
daugiabutis,Fabijoniškės,1622.75173370319
daugiabutis,Justiniškės,1228.8143382352941
daugiabutis,Karoliniškės,450.0405405405405
daugiabutis,Lazdynai,1433.044164037855
daugiabutis,Naujamiestis,1682.3805132317561
daugiabutis,Naujininkai,1393.3172905525846
daugiabutis,Naujoji Vilnia,1329.672514619883
daugiabutis,Paneriai,454.3
daugiabutis,Pašilaičiai,1355.7829391891892
daugiabutis,Pilaitė,1359.814054227499
daugiabutis,Rasos,1345.4517087667161
daugiabutis,Senamiestis,1335.1021992238034
daugiabutis,Verkiai,1382.1848203939744
daugiabutis,Vilkpėdė,1154.8088235294117
daugiabutis,Viršuliškės,1298.3836805555557
daugiabutis,Šeškinė,625.4545454545455
daugiabutis,Šnipiškės,1442.1693502012652
daugiabutis,Žirmūnai,1211.8711776187379
daugiabutis,Žvėrynas,1474.2569444444443
dvibutis,Antakalnis,1165.199481865285
dvibutis,Fabijoniškės,1225.9722222222222
dvibutis,Grigiškės,1097.8387096774193
dvibutis,Justiniškės,659.8
dvibutis,Lazdynai,1243.2549019607843
dvibutis,Naujininkai,1342.8636363636363
dvibutis,Naujoji Vilnia,1228.111515151515
dvibutis,Paneriai,1088.6113207547169
dvibutis,Pašilaičiai,1253.3790149892934
dvibutis,Pilaitė,996.7711711711712
dvibutis,Rasos,1713.4117647058824
dvibutis,Senamiestis,2464.2631578947367
dvibutis,Verkiai,1217.7719626168225
dvibutis,Vilkpėdė,2294.8571428571427
dvibutis,Šeškinė,1305.16
dvibutis,Šnipiškės,2156.785714285714
dvibutis,Žirmūnai,1654.2
dvibutis,Žvėrynas,1522.6666666666667
vienbutis,Antakalnis,1424.2242128121607
vienbutis,Fabijoniškės,1407.8086642599278
vienbutis,Grigiškės,1056.1386138613861
vienbutis,Justiniškės,1762.6107784431138
vienbutis,Lazdynai,1341.239010989011
vienbutis,Naujamiestis,1298.5144124168514
vienbutis,Naujininkai,1245.1889250814331
vienbutis,Naujoji Vilnia,1260.6180871828237
vienbutis,Paneriai,1091.5909336211548
vienbutis,Pašilaičiai,1200.6279391424619
vienbutis,Pilaitė,1211.4232424677189
vienbutis,Rasos,1430.570588235294
vienbutis,Senamiestis,1508.9453551912568
vienbutis,Verkiai,1360.5035511363637
vienbutis,Vilkpėdė,1961.047619047619
vienbutis,Šeškinė,1613.3620689655172
vienbutis,Šnipiškės,1079.3948717948717
vienbutis,Žirmūnai,1680.5
vienbutis,Žvėrynas,1425.7575757575758
