,timestep_int,age_bin,USER_gender,USER_eldership,count,timestep
0,908,"(79, 89]",Vyras,Justiniškės,0.9791215493317971,2024-06
1,908,"(79, 89]",Vyras,Žirmūnai,3.2802629274244595,2024-06
2,908,"(79, 89]",Vyras,Žvėrynas,-0.6488164961558223,2024-06
3,908,"(79, 89]",Vyras,Pašilaičiai,4.0293781230205905,2024-06
4,908,"(79, 89]",Vyras,Lazdynai,1.7577748139385463,2024-06
5,908,"(79, 89]",Vyras,Naujamiestis,2.451080486065605,2024-06
6,908,"(79, 89]",Vyras,Naujoji Vilnia,3.1910721245436857,2024-06
7,908,"(79, 89]",Vyras,Antakalnis,3.2318660576289506,2024-06
8,908,"(79, 89]",Vyras,Senamiestis,1.3639268461012506,2024-06
9,908,"(79, 89]",Vyras,Fabijoniškės,2.8890793598860363,2024-06
10,908,"(79, 89]",Vyras,Šeškinė,1.6239948452684878,2024-06
11,908,"(79, 89]",Vyras,Pilaitė,2.2632108318927795,2024-06
12,908,"(79, 89]",Vyras,Karoliniškės,0.7306070394343767,2024-06
13,908,"(79, 89]",Vyras,Rasos,-0.9394860013088362,2024-06
14,908,"(79, 89]",Vyras,Viršuliškės,-0.9995474015919203,2024-06
15,908,"(79, 89]",Vyras,Verkiai,5.151348406237593,2024-06
16,908,"(79, 89]",Vyras,Šnipiškės,0.08320462465418466,2024-06
17,908,"(79, 89]",Vyras,Naujininkai,2.360673004247472,2024-06
18,908,"(79, 89]",Vyras,Vilkpėdė,0.044021329078486104,2024-06
19,908,"(79, 89]",Vyras,Paneriai,-1.2816070761063703,2024-06
20,908,"(79, 89]",Vyras,Grigiškės,-2.0515657846769155,2024-06
21,908,"(79, 89]",Moteris,Justiniškės,1.3100476024591536,2024-06
22,908,"(79, 89]",Moteris,Žirmūnai,3.611188980551816,2024-06
23,908,"(79, 89]",Moteris,Žvėrynas,-0.3178904430284657,2024-06
24,908,"(79, 89]",Moteris,Pašilaičiai,4.360304176147947,2024-06
25,908,"(79, 89]",Moteris,Lazdynai,2.088700867065903,2024-06
26,908,"(79, 89]",Moteris,Naujamiestis,2.7820065391929614,2024-06
27,908,"(79, 89]",Moteris,Naujoji Vilnia,3.5219981776710423,2024-06
28,908,"(79, 89]",Moteris,Antakalnis,3.562792110756307,2024-06
29,908,"(79, 89]",Moteris,Senamiestis,1.6948528992286072,2024-06
30,908,"(79, 89]",Moteris,Fabijoniškės,3.220005413013393,2024-06
31,908,"(79, 89]",Moteris,Šeškinė,1.9549208983958444,2024-06
32,908,"(79, 89]",Moteris,Pilaitė,2.594136885020136,2024-06
33,908,"(79, 89]",Moteris,Karoliniškės,1.0615330925617332,2024-06
34,908,"(79, 89]",Moteris,Rasos,-0.6085599481814796,2024-06
35,908,"(79, 89]",Moteris,Viršuliškės,-0.6686213484645638,2024-06
36,908,"(79, 89]",Moteris,Verkiai,5.48227445936495,2024-06
37,908,"(79, 89]",Moteris,Šnipiškės,0.4141306777815412,2024-06
38,908,"(79, 89]",Moteris,Naujininkai,2.6915990573748285,2024-06
39,908,"(79, 89]",Moteris,Vilkpėdė,0.37494738220584267,2024-06
40,908,"(79, 89]",Moteris,Paneriai,-0.9506810229790137,2024-06
41,908,"(79, 89]",Moteris,Grigiškės,-1.720639731549559,2024-06
42,908,"(89, 99]",Vyras,Justiniškės,0.01760596908794909,2024-06
43,908,"(89, 99]",Vyras,Žirmūnai,2.3187473471806115,2024-06
44,908,"(89, 99]",Vyras,Žvėrynas,-1.6103320763996711,2024-06
45,908,"(89, 99]",Vyras,Pašilaičiai,3.0678625427767408,2024-06
46,908,"(89, 99]",Vyras,Lazdynai,0.7962592336946983,2024-06
47,908,"(89, 99]",Vyras,Naujamiestis,1.489564905821755,2024-06
48,908,"(89, 99]",Vyras,Naujoji Vilnia,2.229556544299836,2024-06
